"id", "name", "birth_date", "chip_num", "species", "breed", "sex", "profile_picture", "comments"
1, "Buddy", "2018-05-12", 123456789, "Perro", "Golden Retriever", "Macho", "https://example.com/buddy.jpg", "Saludable"
2, "Luna", "2019-02-18", 987654321, "Gato", "Siamese", "Hembra", "https://example.com/luna.jpg", "Diabetes controlada"
3, "Rocky", "2016-07-23", 456789123, "Perro", "Bulldog", "Macho", "https://example.com/rocky.jpg", "Alergia a ciertos alimentos"
4, "Coco", "2020-11-30", 789123456, "Perro", "Labrador Retriever", "Macho", "https://example.com/coco.jpg", "Ningún problema conocido"
5, "Mia", "2017-09-05", 567890123, "Gato", "Maine Coon", "Hembra", "https://example.com/mia.jpg", "Asma"
6, "Simba", "2015-03-14", 234567890, "Perro", "Husky Siberiano", "Macho", "https://example.com/simba.jpg", "Problemas de articulaciones"
7, "Bella", "2018-08-29", 678901234, "Gato", "Persa", "Hembra", "https://example.com/bella.jpg", "Pérdida de peso repentina"
8, "Max", "2019-06-17", 345678901, "Perro", "Dálmata", "Macho", "https://example.com/max.jpg", "Alergias estacionales"
9, "Milo", "2017-12-10", 789012345, "Perro", "Poodle", "Macho", "https://example.com/milo.jpg", "Sordo desde el nacimiento"
10, "Lola", "2016-04-03", 456789012, "Gato", "Ragdoll", "Hembra", "https://example.com/lola.jpg", "Problemas cardíacos"
